Acute Myeloid Leukemia (AML),PHQGHUMEAYLNLFDXFIRCVS
Adolescents,CXGGBWKFNQDUXWFNFOZVSR
AIDS-Related Lymphoma (Lymphoma),DPOOEFXZBCOEJUVPVABOYG     
Primary CNS Lymphoma (Lymphoma),POEYLFPBNPLJVRVIPYAMYE      
Anal Cancer,HWQNQRQPMXUJJLOOVAOWUX
Astrocytomas,LYJYHFIXJSWNKKUFNUXXZR
Atypical Teratoid/Rhabdoid Tumor,ZBMNMGQOOKETLYHNKOAUGZ     
Bladder Cancer,KDCPWSRTESJWHDIZCOBZCN
Bone Cancer,FWLQIJTVDWVXHRCBLDVGYL
Brain Tumors,WGBUSBMBORXTLHCSMPXOHG
Breast Cancer,MGNKEUFDXOTOGBGXPEYANF
Bronchial Tumors (Lung Cancer),ETCUKEPZSHKLJUGGGEKJDQ       
Carcinoid Tumor (Gastrointestinal),JLLCHHBFQMKIMWZOBIWYBX   
Carcinoma of Unknown Primary,DUUNFSKSRSRTEKMQDCYZJE
Atypical Teratoid/Rhabdoid Tumor,PSZRNAVYMMTATBDZQSOEMU     
Germ Cell Tumor,GRPUNKDMBPPWEQTGJOPARM
Cervical Cancer,JBXPHOOHPKWQYUHRQZHNBN
Childhood Cancers,FUVQNQQLRZJPXIOGVLIEXD
Childhood Cardiac Tumors Treatment,ZUZOSRKRUSVOJBRZMWZPOW   
Cancers of Childhood,KJILEFRAAMDIGPNPUUHGXP
Cholangiocarcinoma - see Bile Duct Cancer,QNJWJMWAXXMNSNHHLQQRZU
Chordoma,DLTFZOTCJTNZXUGLSDSMZC
Chronic Lymphocytic Leukemia (CLL),NOCKVFAJFRMXOTHOWKBJZW   
Chronic Myelogenous Leukemia (CML),UCWLJFRIMPMYHCHZRIWKBA   
Chronic Myeloproliferative Neoplasms,RXBGFCBCEYHJUGIXWTBVTR 
Colorectal Cancer,EHBBCPXIFBXVFBCGKCFQCK
Craniopharyngioma,COTZGKUBMJRMBSZTSSHFRO
Cutaneous T-Cell Lymphoma ,EFWSJRXJHGUZYUPZWWEIQU
Ductal Carcinoma In Situ (DCIS) - see Breast Cancer,RPIXIQFLDUUVEOOWQCUDHN
Embryonal Tumors,EFNJHAIMUCZFSKUIDUBURI
Endometrial Cancer (Uterine Cancer),SWTBRECUYKABFCVKDZEZTO  
Ependymoma,IDUKUHJZEFCZZZBFKQDPQZ
Esophageal Cancer,IKFOBUCDHTHXDJGKJELRLP
Esthesioneuroblastoma (Head and Neck Cancer),AXAMCEROSWITDPTPCCLIFK
Ewing Sarcoma (Bone Cancer),ELJYTIHRCQAYBNEFXNXVGZ
Extracranial Germ Cell Tumor,EDYYHNGYCDRUDMPHMECKOT
Extragonadal Germ Cell Tumor,RWOSPOFGHFOZQVLQFXWWKM
Eye Cancer,FXDYYGMDCASZSGOVSODKJG
Intraocular Melanoma,HCWMBMXRMHUYFYQGAJQKCK
Retinoblastoma,LZNAYXQKQOYZWMYUBZAZCP
Fallopian Tube Cancer,KHKTKYDZIVCUYPURFMBISG
Gallbladder Cancer,EKYRGZVXDHPOAMVAFYRARX
Gastric (Stomach) Cancer,SVKHTQDIHERSIGBHZJZUJX
Gastrointestinal Carcinoid Tumor,MMYSPNARAEWKEGJCCVHHRJ     
Gastrointestinal Stromal Tumors (GIST) (Soft Tissue Sarcoma),VBJTSQDJOOTGPKNFPFYCGF
Germ Cell Tumors,IEOWQRWWWPZSQMETOGEPSP
Childhood Extracranial Germ Cell Tumors,ECDWRACGFMZKGIPDFODKJM
Extragonadal Germ Cell Tumors,JQWIQPUOQHIMVFVUZWYVIJ        
Ovarian Germ Cell Tumors,GFULLKJDUHSJAFBTLKMFQR
Testicular Cancer,MYJFJNHHSSQCTYDTEAMDCJ
Gestational Trophoblastic Disease,BPRHTNEGYIWXGCJWLGRSME    
Hairy Cell Leukemia,AEARWTVJSJBAOIOJLWHYPN
Head and Neck Cancer,VRUIHOSWKIFYGTYDHACWYH
Heart Tumors,SGEWZMTGONZLTJHGAUHNIH
Hepatocellular (Liver) Cancer,REQGJFWKJSMTPJHAEFQZAA        
Histiocytosis,ULDRCHJCCDYRFVVRIVUYEE
Hodgkin Lymphoma,GFIVDRCYGURQDREDAKUBNF
Hypopharyngeal Cancer (Head and Neck Cancer),GUPROQYLOBCWQXKZMAUSJG
Intraocular Melanoma,MHCMHGDNMPHNQKAMHURKTR
Islet Cell Tumors,FFACLVGRZKKLDACLLTEOJO
Kaposi Sarcoma (Soft Tissue Sarcoma),MONXRQYJZGINRNNZWACXXA 
Kidney (Renal Cell) Cancer,EDRWUDXZRFUSEWJTBOXVYN
Langerhans Cell Histiocytosis,FHKSTCENAUMNDDXFDMVZCA        
Laryngeal Cancer (Head and Neck Cancer),UTDCCKXAAYDZSXTTOBBGQN
Leukemia,GVVPJGOJOGLMKXGBFCPYPC
Lip and Oral Cavity Cancer (Head and Neck Cancer),KQCHBDDZWRXBZMQRLXVOBT
Liver Cancer,WHXGINFGFRCCLMZNMJUGWW
Lung Cancer (Non-Small Cell,BSQFCIHUBSJOLLMSQSGHMC
Lymphoma,PHELSOTFLBGSFNPCUZSRUP
Male Breast Cancer,CHYNVZHCPQUGRIWNIQXDFJ
Melanoma,PWPXFBLKPNPEELFJMTKUQP
Melanoma,ZOMWNLMBUPMKTLPTNDMPDS
Merkel Cell Carcinoma (Skin Cancer),YDSGVFPENEMWBORIFSUQHC  
Mesothelioma,ESKMKHSSMVNONWAFXWHGBI
Metastatic Cancer,BABVQOPQFOVIUSSQFQWEHT
Metastatic Squamous Neck Cancer with Occult Primary (Head and Neck Cancer),XDZUJTLNTXMRJXXWTLGGKY
Midline Tract Carcinoma With NUT Gene Changes,TBIOLYDNILQADOJSKKVFXA
Mouth Cancer (Head and Neck Cancer),HHJMBOCLJARINTDWCLDVDX
Multiple Endocrine Neoplasia Syndromes,ROPBYJZWYYOJUOTHWMLVRG
Multiple Myeloma/Plasma Cell Neoplasms,LFZDZDBTUBXUOFFVNCRSWS
Mycosis Fungoides (Lymphoma),AZNMOIJOIVVGOBQPNCKWVN
Myelodysplastic Syndromes,HKEBMTDHVYGKJISUXHATMU
Myelogenous Leukemia,UDQBHMKNHFXAXQXKJLZZQT
Myeloid Leukemia,SJFAEEDFUUJKOLXJOQKDVF
Myeloproliferative Neoplasms,EPVLHVHRWTFDUKXFFJPSSW
Nasal Cavity and Paranasal Sinus Cancer (Head and Neck Cancer),YXLIJJHEVRYXOZBAFPFMOW
Nasopharyngeal Cancer (Head and Neck Cancer),GRGONUATDQLAHYGGYLJDDJ
Neuroblastoma,HMLTEDZLODSRKEUTGTNKNT
Non-Hodgkin Lymphoma,ARJKPXINOVGZDTHUNWOOXV
Non-Small Cell Lung Cancer,JJMPSVKNHKWJOPMMLEBKSU
Oral Cancer,CVZQLYQNWCMBVBHRMLOWPJ
Treatment,BWYVWTGTOQNMICXAPZARKN
Ovarian Cancer,NXTUUFARZROSDQWSMTCJGH
Pancreatic Cancer,ECQUDOSRTJXYAAYKQRXYCR
Pancreatic Neuroendocrine Tumors (Islet Cell Tumors),XUWJXNPQJNBKCPDMOKALXA
Papillomatosis (Childhood Laryngeal),PEMVBQLZSVXZKUTAPPWGZP 
Paraganglioma,DPYZKZCVBNTCVFXSXPJAOX
Paranasal Sinus and Nasal Cavity Cancer (Head and Neck Cancer),TFHVXXYTGOKRCXAETAUQGN
Parathyroid Cancer,DMPHWZYIAYABJRQGEPPXYJ
Penile Cancer,STTYZUVLDVYBSUXKBMFZVR
Pharyngeal Cancer (Head and Neck Cancer),TNOVIDZNPGHOZVAFMSNSNQ
Pheochromocytoma,IVMVUBCWTFSRQTMKNEPBHO
Pituitary Tumor,WEJAZHKWCMMTPIXXXLZQYS
Plasma Cell Neoplasm/Multiple Myeloma,XTWWTAIDYAXYQLEPRXIBEX
Pleuropulmonary Blastoma (Lung Cancer),XYFVSDDYGTHCUYYFWPJSFY
Pregnancy and Breast Cancer,BGLGZMBINTATTNHODTONPY
Primary Central Nervous System (CNS) Lymphoma,ZWOTKGNGUPHPKXEATOWZAB
Primary Peritoneal Cancer,SDNVQHKFCMOFISFRFQGVPM
Prostate Cancer,VORPJFZSLZMPJJNEHRYKXJ
Pulmonary Inflammatory Myofibroblastic Tumor (Lung Cancer),ZUBUACCLFKCYZOBGHTUOXR
Rare Cancers of Childhood,AJVPRECWGXXPSWCGMMVEDE
Rectal Cancer,WDMFNQWCUQDSCILIQECIHL
Recurrent Cancer,UILGMFCSWTWKKXLCBHQKVC
Renal Cell (Kidney) Cancer,SWJEBKRJLPGFGRATZBSGUV
Retinoblastoma,ZIFNHYXWJSJAVWAUXPANNA
Rhabdomyosarcoma,MXJDVZUHNACZYHEPWZOLHU
Salivary Gland Cancer (Head and Neck Cancer),SLRKVWPNVGZMIIZWUDWDFZ
Sarcoma,LKTBQDXGYYIUDSJVEZKMES
Childhood Rhabdomyosarcoma (Soft Tissue Sarcoma),BJLKYERTAHNEXHUQMJICBM
Childhood Vascular Tumors (Soft Tissue Sarcoma),USQDKLASOLWJXPTXXEUMZF
Ewing Sarcoma (Bone Cancer),WYUCPABQSEFFUNQPKFNNBE
Kaposi Sarcoma (Soft Tissue Sarcoma),CBBCJPDYJLIBITLLPLXELR
Osteosarcoma (Bone Cancer),DKEXDTQUVPTTEYHTLQLBBB
Soft Tissue Sarcoma,VOQOZKYNAYYRBAQMYJHZXN
Uterine Sarcoma,DSIYFSEXWBIOEWQVQRTCDL
S├⌐zary Syndrome (Lymphoma),PQMVJIFVGYMKGOTZJMNZQT
Skin Cancer,MRPNDEVNMTHJITSSPAQNJR
Small Cell Lung Cancer,DOYJWPYATMLEYQSVKPAMSV
Small Intestine Cancer,BMVXRLLIVFEDKJIGAVYXJV
Soft Tissue Sarcoma,EQVRBACUIGAIPYHBBXIPBZ
Squamous Cell Carcinoma of the Skin,NCWHRBLIRIZXOQPTQQWEAA
Squamous Neck Cancer with Occult Primary,FJEQIOZPYFAUUQMVHXKMNX
Stomach (Gastric) Cancer,MSYAMPTLZANOTLSLWUHTFQ
T-Cell Lymphoma,JRRWBWHMQHZKHDKCRFVBEI
Testicular Cancer,YIPVFVPZHYUJABTQWWTBKD
Throat Cancer (Head and Neck Cancer),OGKEMHIBYXRNXSXRZLETBQ
Nasopharyngeal Cancer,EXKRQOIERNAPLQYJPQOUBV
Oropharyngeal Cancer,JSEBALWNKSVLOIDZFPIRWY
Hypopharyngeal Cancer,CZTWZZVEWXOTAKUDKPEDUP
Thymoma and Thymic Carcinoma,KCZLHWUSKDNEVDCPLBKLPJ
Thyroid Cancer,MPFDCYQTRCVVVTRFFVPEKK
Tracheobronchial Tumors (Lung Cancer),QMCUPRYJAUTEUVCZVICTHR
Transitional Cell (Kidney (Renal Cell) Cancer),XSXCLPRGDLWXFAIGAYRUEI
Unknown Primary,CUFDIAMHTKBXOTDIRXXGVZ
Ureter and Renal Pelvis,QMEYROVFICHQNIVFJZAUQF
Urethral Cancer,DFTGMOPSRGPUGXTUHLCVSP
Uterine Cancer,IHAZRSSFSZWXBQMURWMXCD
Uterine Sarcoma,BHUMRGJQMVNKYRTNSJVWZX
Vaginal Cancer,SSQXNJOMUYJNJUWRSYXWQY
Vascular Tumors (Soft Tissue Sarcoma),YXCSZPOKLWJDRLTBSCIEDP
Vulvar Cancer,IWLAQIGESJSQHSJLRGLMWA
Wilms Tumor and Other Childhood Kidney Tumors,NRXRFNWAKZTGJHXAUNFQJV